typing_wpm,typing_accuracy,typing_errors,typing_backspaces,typing_error_rate,typing_correction_rate,attention_hits,attention_false_clicks,attention_misses,attention_reaction_time,attention_accuracy,attention_score,attention_impulsivity_rate,attention_miss_rate,reading_speed,reading_comprehension,reading_correct_answers,reading_efficiency,risk_label,dominant_issue
58.42,92.05,0,3,0.0,0.0517,24,2,1,361.58,88.5,98.66,0.0741,0.0385,166.7,91.53,4,152.58,low,balanced
57.19,88.12,0,1,0.0,0.0175,21,1,2,297.84,91.71,90.7,0.0435,0.0833,172.8,90.06,4,155.63,low,balanced
46.64,98.05,0,4,0.0,0.087,22,0,2,362.68,97.07,89.02,0.0,0.08,158.51,86.09,5,136.45,low,balanced
29.95,74.51,4,8,0.1379,0.2759,20,2,2,473.83,68.18,59.57,0.087,0.087,113.54,62.6,3,71.07,medium,typing_issue
57.0,91.36,2,6,0.0351,0.1053,21,2,2,438.86,93.92,93.77,0.0833,0.0833,165.11,87.26,4,144.07,low,balanced
64.77,94.54,0,1,0.0,0.0156,22,1,3,373.87,88.57,89.15,0.0417,0.1154,148.03,88.18,5,130.54,low,balanced
35.49,71.9,8,5,0.2286,0.1429,17,4,4,620.97,81.8,62.46,0.1818,0.1818,125.33,65.86,3,82.54,medium,typing_issue
31.88,81.04,8,3,0.2581,0.0968,14,2,7,580.77,81.27,67.07,0.1176,0.3182,119.66,67.51,4,80.78,medium,balanced
8.21,56.84,15,12,1.5,1.2,6,7,6,1059.17,52.0,25.88,0.5,0.4615,83.05,58.19,3,48.33,high,attention_issue
23.26,79.78,4,10,0.1739,0.4348,15,5,7,587.95,69.6,48.75,0.2381,0.3043,117.68,67.41,2,79.33,medium,attention_issue
52.7,94.96,0,0,0.0,0.0,20,1,3,480.85,87.53,98.34,0.0455,0.125,190.82,84.53,4,161.3,low,balanced
42.92,90.32,2,6,0.0476,0.1429,20,1,0,357.91,90.77,90.32,0.0455,0.0,210.16,99.74,4,209.62,low,balanced
65.42,98.97,3,3,0.0462,0.0462,20,2,3,325.23,92.32,84.71,0.087,0.125,165.12,84.52,5,139.55,low,balanced
24.78,54.26,15,11,0.625,0.4583,13,5,8,930.31,56.53,38.96,0.2632,0.3636,79.83,38.06,0,30.38,high,attention_issue
9.47,49.12,8,15,0.8,1.5,5,10,11,1113.45,57.79,21.89,0.625,0.6471,67.4,28.96,3,19.52,high,attention_issue
45.17,93.43,4,3,0.0889,0.0667,18,0,0,472.06,87.59,98.99,0.0,0.0,190.82,94.84,4,180.97,low,balanced
22.79,70.57,5,3,0.2273,0.1364,15,4,5,445.57,63.99,74.24,0.2,0.2381,116.05,59.1,2,68.59,medium,reading_issue
49.4,91.86,3,4,0.0612,0.0816,23,1,3,443.65,88.75,83.01,0.04,0.1111,167.87,89.74,5,150.65,low,balanced
24.62,64.36,15,15,0.625,0.625,11,6,6,839.66,43.19,24.83,0.3333,0.3333,106.31,38.42,0,40.85,high,attention_issue
24.04,71.84,15,15,0.625,0.625,14,8,7,856.8,58.54,39.3,0.3478,0.3182,73.69,47.93,2,35.32,high,attention_issue
68.21,90.74,0,2,0.0,0.0294,22,1,3,295.96,87.67,99.4,0.0417,0.1154,192.84,81.99,4,158.12,low,balanced
49.8,91.58,4,5,0.0816,0.102,24,0,1,287.0,96.22,75.46,0.0,0.0385,201.25,86.7,5,174.48,low,balanced
29.71,86.69,8,10,0.2759,0.3448,17,3,2,693.3,69.79,46.44,0.1429,0.1,140.14,66.38,2,93.03,medium,attention_issue
28.77,72.19,5,4,0.1786,0.1429,17,3,6,672.0,70.4,56.82,0.1429,0.25,114.94,58.09,4,66.77,medium,reading_issue
27.29,76.8,7,6,0.2593,0.2222,14,3,7,422.44,71.63,59.42,0.1667,0.3182,149.2,66.97,4,99.92,medium,balanced
46.52,96.5,0,5,0.0,0.1087,20,0,0,326.08,89.47,81.8,0.0,0.0,214.33,89.6,4,192.03,low,balanced
24.26,71.57,8,10,0.3333,0.4167,13,7,9,652.48,49.14,37.78,0.3333,0.3913,87.25,52.87,0,46.13,high,attention_issue
10.38,47.39,8,15,0.8,1.5,10,4,12,968.12,42.89,29.54,0.2667,0.5217,63.14,35.49,2,22.41,high,attention_issue
20.82,82.6,5,7,0.25,0.35,18,4,5,666.02,77.45,72.39,0.1739,0.2083,126.12,62.19,4,78.44,medium,balanced
48.54,97.19,3,6,0.0625,0.125,18,0,2,285.42,94.08,86.75,0.0,0.0952,174.99,82.03,5,143.54,low,balanced
13.06,49.02,10,10,0.7692,0.7692,11,8,11,679.52,37.88,16.26,0.4,0.4783,70.16,35.09,3,24.62,high,attention_issue
37.34,89.7,2,5,0.0541,0.1351,20,0,1,322.65,87.77,94.5,0.0,0.0455,177.44,82.38,4,146.18,low,balanced
58.44,98.76,0,4,0.0,0.069,20,0,2,289.84,96.08,75.81,0.0,0.087,148.13,95.16,4,140.95,low,balanced
9.93,41.85,12,13,1.2,1.3,10,8,11,1097.53,33.3,20.49,0.4211,0.5,85.67,56.79,0,48.65,high,attention_issue
15.13,53.33,11,14,0.7333,0.9333,13,6,9,667.98,62.16,28.39,0.3,0.3913,94.82,38.09,0,36.12,high,attention_issue
41.39,88.25,4,6,0.0976,0.1463,18,0,1,353.74,97.27,94.81,0.0,0.05,164.86,99.93,5,164.74,low,balanced
20.37,50.95,11,9,0.55,0.45,12,8,12,974.99,64.28,17.45,0.381,0.48,93.87,56.23,1,52.78,high,attention_issue
33.39,76.87,5,4,0.1515,0.1212,20,5,2,591.61,67.66,54.61,0.1923,0.087,103.25,75.3,2,77.74,medium,balanced
10.34,69.47,13,18,1.3,1.8,11,9,8,939.72,54.96,27.93,0.4286,0.4,93.04,47.83,3,44.5,high,attention_issue
9.28,68.26,12,13,1.2,1.3,14,10,6,805.65,43.93,15.06,0.4,0.2857,94.03,47.77,1,44.92,high,attention_issue
17.19,62.88,15,11,0.8824,0.6471,9,6,6,985.22,38.4,20.27,0.375,0.375,79.53,58.44,0,46.48,high,attention_issue
56.38,92.56,0,0,0.0,0.0,24,1,1,377.87,87.15,86.2,0.0385,0.0385,199.02,90.42,4,179.97,low,balanced
12.2,56.67,14,6,1.1667,0.5,11,7,10,1100.19,42.87,26.34,0.3684,0.4545,100.28,24.21,3,24.28,high,attention_issue
67.63,94.01,2,2,0.0299,0.0299,23,2,1,490.87,85.52,87.98,0.0769,0.04,194.5,92.99,4,180.87,low,balanced
64.32,96.72,3,5,0.0469,0.0781,24,1,3,279.66,88.27,95.5,0.0385,0.1071,166.56,86.24,4,143.64,low,balanced
42.49,97.79,2,6,0.0476,0.1429,20,1,1,363.2,95.79,81.22,0.0455,0.0455,153.82,92.1,4,141.67,low,balanced
36.51,70.68,3,6,0.0833,0.1667,17,4,2,691.32,65.03,70.32,0.1818,0.1,134.29,57.27,4,76.9,medium,reading_issue
59.59,97.34,1,6,0.0169,0.1017,19,0,3,301.86,86.83,76.27,0.0,0.1304,156.38,80.36,4,125.66,low,balanced
38.99,84.01,7,5,0.1842,0.1316,19,5,5,689.6,82.95,66.43,0.2,0.2,126.26,75.9,3,95.83,medium,balanced
38.51,77.61,6,9,0.1579,0.2368,15,3,2,414.94,73.31,69.11,0.1579,0.1111,113.46,72.95,2,82.77,medium,balanced
57.41,88.71,3,3,0.0526,0.0526,18,2,3,404.8,92.08,84.21,0.0952,0.1364,179.11,89.32,4,159.98,low,balanced
49.67,89.89,1,0,0.0204,0.0,24,1,0,321.28,98.12,86.05,0.0385,0.0,184.25,96.93,5,178.6,low,balanced
8.79,65.69,10,12,1.0,1.2,9,4,8,1010.1,49.59,26.46,0.2857,0.4444,76.62,33.7,0,25.82,high,attention_issue
18.37,43.68,11,7,0.6111,0.3889,8,5,6,1188.39,31.6,31.64,0.3571,0.4,63.9,57.25,1,36.58,high,attention_issue
39.64,80.77,4,6,0.1026,0.1538,16,1,6,462.33,74.1,63.06,0.0556,0.2609,112.9,61.93,3,69.92,medium,balanced
38.15,73.25,3,3,0.0789,0.0789,12,1,6,744.42,72.97,49.52,0.0714,0.3158,122.78,75.96,2,93.27,medium,attention_issue
24.47,52.59,12,14,0.5,0.5833,11,9,8,1009.04,33.3,20.07,0.4286,0.4,69.99,38.42,0,26.89,high,attention_issue
25.61,83.84,6,10,0.24,0.4,20,3,5,479.24,62.36,66.86,0.125,0.1923,128.94,74.5,2,96.07,medium,balanced
16.3,62.12,12,13,0.75,0.8125,9,10,11,979.83,41.47,18.24,0.5,0.5238,96.27,50.66,2,48.78,high,attention_issue
45.98,92.36,1,5,0.0222,0.1111,20,1,1,278.51,90.99,92.44,0.0455,0.0455,152.95,94.76,5,144.94,low,balanced
30.77,78.43,4,5,0.1333,0.1667,13,4,3,736.66,71.7,52.78,0.2222,0.1765,139.61,56.17,2,78.42,medium,reading_issue
45.24,95.8,0,4,0.0,0.0889,25,1,3,384.11,85.66,79.71,0.037,0.1034,155.82,94.63,4,147.45,low,balanced
68.51,98.57,1,3,0.0147,0.0441,19,1,0,475.91,97.86,88.41,0.0476,0.0,173.17,86.41,4,149.64,low,balanced
38.74,74.44,6,9,0.1579,0.2368,18,1,7,539.04,67.18,60.48,0.05,0.2692,133.37,69.93,2,93.26,medium,typing_issue
49.91,94.1,2,6,0.0408,0.1224,22,1,0,317.48,95.75,91.62,0.0417,0.0,206.34,88.38,4,182.37,low,balanced
36.97,97.42,2,2,0.0556,0.0556,25,0,2,484.97,92.01,80.56,0.0,0.0714,143.76,82.52,5,118.63,low,balanced
16.14,65.73,10,8,0.625,0.5,13,10,7,741.7,55.24,24.45,0.4167,0.3333,85.84,33.52,0,28.77,high,attention_issue
10.07,51.34,7,10,0.7,1.0,6,6,12,1086.02,50.76,47.25,0.4615,0.6316,99.67,34.64,2,34.52,high,attention_issue
15.96,60.83,8,17,0.5333,1.1333,14,4,12,825.85,46.14,28.91,0.2105,0.4444,98.75,40.88,3,40.37,high,attention_issue
19.63,46.58,9,8,0.4737,0.4211,12,6,12,1084.48,30.32,49.61,0.3158,0.48,73.19,55.46,2,40.59,high,attention_issue
34.01,70.77,7,10,0.2059,0.2941,18,1,5,431.27,60.22,60.91,0.05,0.2083,112.82,71.34,2,80.48,medium,typing_issue
21.59,68.85,8,16,0.381,0.7619,12,5,12,967.56,64.5,44.84,0.2778,0.48,63.67,51.48,3,32.78,high,attention_issue
38.15,74.58,3,6,0.0789,0.1579,18,2,3,507.24,82.82,65.33,0.0952,0.1364,105.08,77.28,4,81.2,medium,typing_issue
14.9,64.71,12,6,0.8571,0.4286,11,4,7,943.09,64.9,37.67,0.25,0.3684,103.76,52.93,0,54.92,high,attention_issue
11.68,45.82,15,11,1.3636,1.0,8,9,7,709.44,41.92,42.99,0.5,0.4375,77.27,57.14,2,44.15,high,attention_issue
16.47,69.64,7,15,0.4375,0.9375,8,10,10,1115.98,41.46,17.48,0.5263,0.5263,78.86,34.54,2,27.24,high,attention_issue
8.51,48.67,10,11,1.0,1.1,11,7,8,849.27,45.95,29.96,0.3684,0.4,75.61,26.41,3,19.97,high,attention_issue
48.37,93.42,4,0,0.0833,0.0,23,0,1,427.73,86.18,90.93,0.0,0.04,190.55,98.35,4,187.4,low,balanced
28.84,73.63,4,8,0.1429,0.2857,13,1,7,739.29,65.61,62.47,0.0667,0.3333,110.18,73.16,2,80.61,medium,typing_issue
16.69,43.38,14,7,0.875,0.4375,11,6,7,763.3,53.35,21.85,0.3333,0.3684,69.12,36.31,0,25.1,high,attention_issue
16.34,52.36,10,15,0.625,0.9375,8,7,11,1104.76,44.72,40.95,0.4375,0.55,65.2,20.28,2,13.22,high,attention_issue
39.57,93.96,4,4,0.1026,0.1026,25,0,2,322.29,88.17,78.86,0.0,0.0714,143.77,96.81,5,139.18,low,balanced
18.87,62.73,11,7,0.6111,0.3889,11,5,12,1163.84,50.29,40.39,0.2941,0.5,89.2,47.05,1,41.97,high,attention_issue
12.35,62.56,7,14,0.5833,1.1667,8,6,7,1136.21,33.42,44.25,0.4,0.4375,84.24,31.88,0,26.86,high,attention_issue
60.38,90.19,2,4,0.0333,0.0667,19,0,2,257.83,86.78,96.85,0.0,0.0909,173.57,86.65,4,150.4,low,balanced
58.22,91.02,4,2,0.069,0.0345,19,2,2,371.48,89.95,75.2,0.0909,0.0909,159.53,86.16,4,137.44,low,balanced
36.84,76.04,3,7,0.0833,0.1944,17,2,3,741.71,83.82,70.34,0.1,0.1429,124.14,68.14,4,84.59,medium,balanced
39.3,79.48,8,4,0.2051,0.1026,20,2,5,418.71,76.98,52.68,0.087,0.1923,144.48,79.06,2,114.22,medium,balanced
23.36,86.96,3,7,0.1304,0.3043,16,3,6,558.35,71.6,68.72,0.15,0.2609,101.41,61.34,3,62.21,medium,balanced
54.77,96.72,2,4,0.037,0.0741,24,0,3,410.34,96.37,97.6,0.0,0.1071,164.86,85.45,5,140.87,low,balanced
28.11,80.19,3,5,0.1071,0.1786,20,5,3,735.35,66.22,63.27,0.1923,0.125,120.51,68.42,4,82.46,medium,balanced
18.41,50.4,8,17,0.4444,0.9444,13,4,11,1194.69,62.6,37.58,0.2222,0.44,83.5,43.34,0,36.19,high,attention_issue
41.49,94.27,2,5,0.0488,0.122,18,0,2,461.02,99.86,78.99,0.0,0.0952,189.48,89.6,5,169.76,low,balanced
23.53,71.85,3,6,0.1304,0.2609,19,4,7,692.53,70.06,70.41,0.1667,0.2593,132.05,67.14,2,88.66,medium,typing_issue
30.95,75.66,7,6,0.2333,0.2,18,2,2,474.56,81.64,74.93,0.0952,0.0952,131.2,56.43,2,74.04,medium,reading_issue
26.65,80.09,8,4,0.3077,0.1538,13,1,7,672.27,83.66,66.58,0.0667,0.3333,120.98,60.37,4,73.04,medium,balanced
11.83,50.32,9,11,0.8182,1.0,5,9,6,1041.84,45.98,17.43,0.6,0.5,93.62,25.91,0,24.25,high,attention_issue
10.47,60.92,9,15,0.9,1.5,11,8,7,660.89,58.78,15.99,0.4,0.3684,60.56,53.97,0,32.68,high,attention_issue
22.09,79.19,4,7,0.1818,0.3182,18,3,5,444.61,69.13,58.77,0.1364,0.2083,119.46,79.67,2,95.18,medium,balanced
31.82,83.55,7,10,0.2258,0.3226,12,5,7,594.24,65.45,56.45,0.2778,0.35,112.05,65.26,4,73.12,medium,balanced
49.01,93.82,3,1,0.0612,0.0204,25,1,2,307.66,95.84,90.76,0.037,0.0714,161.93,94.13,5,152.43,low,balanced
19.23,41.21,8,10,0.4211,0.5263,5,8,12,825.59,50.52,27.1,0.5714,0.6667,88.16,24.82,2,21.88,high,attention_issue
67.97,97.97,2,4,0.0299,0.0597,21,2,2,418.64,99.61,98.67,0.0833,0.0833,213.63,95.01,4,202.96,low,balanced
13.41,64.94,8,13,0.6154,1.0,11,5,10,936.52,52.23,39.59,0.2941,0.4545,85.52,56.28,3,48.14,high,attention_issue
62.6,96.67,2,6,0.0323,0.0968,24,2,3,429.22,85.54,76.35,0.0741,0.1071,185.73,85.71,4,159.18,low,balanced
24.89,61.07,15,12,0.625,0.5,12,5,7,891.82,30.44,46.5,0.2778,0.35,66.89,31.51,0,21.07,high,attention_issue
24.27,77.32,7,9,0.2917,0.375,12,2,7,495.48,64.53,46.76,0.1333,0.35,136.27,68.87,3,93.84,medium,attention_issue
23.28,84.44,4,5,0.1739,0.2174,14,3,7,719.48,83.65,65.34,0.1667,0.3182,130.44,75.0,4,97.83,medium,balanced
51.45,89.34,0,5,0.0,0.098,21,0,0,431.7,98.4,78.33,0.0,0.0,153.09,83.02,4,127.1,low,balanced
19.2,41.66,13,9,0.6842,0.4737,6,4,12,1011.61,55.67,36.43,0.3636,0.6316,109.74,31.97,2,35.09,high,attention_issue
66.34,93.07,2,5,0.0303,0.0758,25,0,1,267.97,98.58,89.43,0.0,0.037,140.67,90.23,5,126.94,low,balanced
48.86,93.98,0,5,0.0,0.1042,20,1,3,408.89,98.45,85.22,0.0455,0.125,212.0,93.2,5,197.58,low,balanced
32.88,77.14,7,8,0.2188,0.25,12,4,2,687.15,63.04,67.23,0.2353,0.1333,144.5,58.63,4,84.72,medium,reading_issue
39.06,82.59,5,8,0.1282,0.2051,12,3,7,435.9,75.64,70.59,0.1875,0.35,105.5,74.87,3,78.99,medium,balanced
11.66,48.78,14,14,1.2727,1.2727,7,9,10,895.25,36.84,40.6,0.5294,0.5556,95.34,27.06,2,25.8,high,attention_issue
50.82,97.75,0,5,0.0,0.1,21,2,1,382.08,91.89,91.86,0.0833,0.0435,161.0,97.76,4,157.38,low,balanced
14.17,65.93,9,8,0.6429,0.5714,14,10,7,949.72,38.77,22.92,0.4,0.3182,67.62,50.18,3,33.93,high,attention_issue
