typing_wpm,typing_accuracy,typing_errors,typing_backspaces,typing_error_rate,typing_correction_rate,attention_hits,attention_false_clicks,attention_misses,attention_reaction_time,attention_accuracy,attention_score,attention_impulsivity_rate,attention_miss_rate,reading_speed,reading_comprehension,reading_correct_answers,reading_efficiency,risk_label,dominant_issue
37.49,100.0,0.0,1.0,0.0,0.1111111111111111,8.0,0.0,3.0,1307.0,80.0,176.0,0.0,0.25,335.0,100.0,3.0,335.0,low,typing
30.98,100.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1204.0,88.0,150.0,0.0,0.1111111111111111,502.5,100.0,3.0,502.5,low,typing
38.81,100.0,0,0,0,0,4.0,0,3.0,1294.0,57.0,54.0,0,0.375,400,100.0,3.0,400,low,attention
38.81,100.0,0,0,0,0,4.0,0,3.0,1294.0,57.0,54.0,0,0.375,400,100.0,3.0,400,low,attention
38.81,100.0,0,0,0,0,4.0,0,3.0,1294.0,57.0,54.0,0,0.375,400,100.0,3.0,400,low,attention
36.38,100.0,0,0,0,0,7.0,0,2.0,1275.0,70.0,100,0,0.2,400,100.0,3.0,400,low,typing
36.38,100.0,0,0,0,0,7.0,0,2.0,1275.0,70.0,100,0,0.2,400,100.0,3.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
28.37,100.0,0,3.0,0,0.3333,7.0,1.0,2.0,1297.0,78.0,100,0.1111,0.2,400,66.67,2.0,400,low,typing
